tuple	degree	softw	wg	sg	rewg	resg	soc	fautype
0 - 0 2 - - - - - - - - 1 - - - - 3 - 0	6	513,514,515,516,518,520,527,533,534,540,542,543,39,553,554,44,45,48,55,58,59,60,62,66,71,72,74,78,79,87,93,105,107,111,112,126,128,131,140,141,142,143,146,147,148,149,150,154,164,166,167,169,170,171,173,176,179,182,187,199,200,201,202,203,204,205,207,208,209,211,213,214,216,218,219,222,226,227,228,230,231,232,234,235,238,241,242,246,252,253,257,268,269,270,271,274,275,277,279,282,283,286,288,292,298,299,327,336,337,341,347,350,351,352,354,355,356,370,371,372,378,380,381,383,384,388,393,397,399,402,403,405,406,408,409,413,417,426,427,428,429,430,431,432,433,434,436,437,438,439,440,444,445,447,448,449,450,452,454,458,466,467,468,475,477,479,482,489,490,491,493,494,495,496,498,499,500,502,504,507,		0.005555555555555556	0.0	checking	missing	
0 - - 2 - - - - - - 2 - 0 - - 0 0 - - 0	7	513,514,515,516,518,520,527,533,534,540,542,543,39,553,554,44,45,48,55,58,59,60,62,66,71,72,74,78,79,82,83,87,93,105,107,111,112,126,128,131,140,141,142,143,146,147,148,149,150,154,164,166,167,169,170,171,173,176,179,182,187,199,200,201,202,203,204,205,207,209,211,213,214,216,218,219,222,226,227,228,230,231,232,234,235,238,241,242,246,252,253,257,268,269,270,271,274,275,277,279,282,283,286,288,292,298,299,327,336,337,341,347,350,351,352,370,371,372,378,380,381,383,384,388,393,397,399,405,406,408,409,413,417,426,427,428,429,430,431,432,433,434,436,437,438,439,440,444,445,447,448,449,450,452,454,458,466,467,468,475,477,479,482,489,490,491,493,494,495,496,498,499,500,502,504,507,		0.005681818181818182	0.0	checking	missing	
0 - 0 2 - - - - - - - - 1 - - - - - 3 0	6	513,514,515,516,518,520,527,533,534,540,542,543,39,553,554,44,45,48,55,58,59,60,62,66,71,72,74,78,79,82,85,87,93,105,107,111,112,126,128,131,140,141,142,143,146,147,148,149,150,154,164,166,167,169,170,171,173,176,179,182,187,199,200,201,202,203,204,205,207,208,209,211,213,214,216,218,219,222,226,227,228,230,231,232,234,235,238,241,242,246,252,253,257,268,269,270,271,274,275,277,279,282,283,286,288,292,298,299,327,336,337,341,347,350,351,352,354,355,356,370,371,372,378,380,381,383,384,388,393,397,399,402,403,405,406,408,409,413,417,426,427,428,429,430,431,432,433,434,436,437,438,439,440,444,445,447,448,449,450,452,454,458,466,467,468,475,477,479,482,489,490,491,493,494,495,496,498,499,500,502,504,507,		0.005494505494505495	0.0	checking	missing	
0 - 0 2 - - - - - - - - 1 - - - 0 - - 0	6	513,514,515,516,518,520,527,533,534,540,542,543,39,553,554,44,45,48,55,58,59,60,62,66,71,72,87,93,105,107,111,112,126,128,131,140,141,142,143,146,147,148,149,150,154,164,166,167,169,170,171,173,176,179,182,187,199,200,201,202,203,204,205,207,208,209,211,213,214,216,218,219,222,226,227,228,230,231,232,234,235,238,241,242,246,252,253,257,268,269,270,271,274,275,277,279,282,283,286,288,292,298,299,327,336,337,341,347,350,351,352,354,355,356,370,371,372,378,380,381,383,384,388,393,397,399,402,403,405,406,408,409,413,417,426,427,428,429,430,431,432,433,434,436,437,438,439,440,444,445,447,448,449,450,452,454,458,466,467,468,475,477,479,482,489,490,491,493,494,495,496,498,499,500,502,504,507,		0.005649717514124294	0.0	checking	missing	
2 - 2 2 - - - - - - - - 0 - - 0 - - - 0	6	513,514,515,516,518,520,527,533,534,540,542,543,39,553,554,44,45,48,55,58,59,60,62,66,71,72,87,93,105,107,111,112,113,115,116,118,120,122,126,128,131,140,141,142,143,145,146,147,148,149,150,154,164,166,167,169,170,171,173,176,179,182,187,199,200,201,202,203,204,205,206,207,209,211,213,214,216,218,219,222,226,227,228,230,231,232,234,235,238,241,242,246,252,253,257,268,269,270,271,274,275,277,279,282,283,286,288,292,298,299,305,313,314,315,317,318,319,321,323,327,336,337,341,347,350,351,352,358,359,360,366,367,368,370,371,372,378,380,381,383,384,388,393,397,399,402,403,405,406,408,409,413,417,426,427,428,429,430,431,432,433,434,436,437,438,439,440,444,445,447,448,449,450,452,454,458,466,467,468,475,477,479,482,489,490,491,493,494,495,496,498,499,500,502,504,507,		0.00510204081632653	0.0	checking	missing	
0 - 0 2 - - - - - - 2 - - - - - - - 3 0	6	513,514,515,516,518,520,527,533,534,540,542,543,39,553,554,44,45,48,55,58,59,60,62,66,71,72,74,78,79,82,83,85,87,93,105,107,111,112,126,128,131,140,141,142,143,146,147,148,149,150,154,164,166,167,169,170,171,173,176,179,182,187,199,200,201,202,203,204,205,207,209,211,213,214,216,218,219,222,226,227,228,230,231,232,234,235,238,241,242,246,252,253,257,268,269,270,271,274,275,277,279,282,283,286,288,292,298,299,327,336,337,341,347,350,351,352,370,371,372,378,380,381,383,384,388,393,397,399,405,406,408,409,413,417,426,427,428,429,430,431,432,433,434,436,437,438,439,440,444,445,447,448,449,450,452,454,458,466,467,468,475,477,479,482,489,490,491,493,494,495,496,498,499,500,502,504,507,		0.005649717514124294	0.0	checking	missing	
0 - 0 2 - - - - - - - - 1 - - 1 - - - 0	6	257,513,514,515,516,518,520,268,269,270,271,527,274,275,277,533,534,279,282,283,540,286,542,543,288,292,39,553,298,554,299,44,45,48,55,58,59,60,62,66,71,327,72,74,75,336,337,341,87,347,93,350,351,352,354,355,356,105,107,111,112,370,371,372,378,380,381,126,383,128,384,131,388,393,140,141,397,142,143,399,146,402,147,403,148,149,405,150,406,408,409,154,413,417,164,166,167,169,170,426,171,427,428,173,429,430,431,176,432,433,434,179,436,437,182,438,439,440,442,187,444,445,447,448,449,450,452,454,199,200,201,202,458,203,204,205,207,208,209,466,211,467,468,213,214,216,218,219,475,477,222,479,226,482,227,228,230,231,232,489,234,490,235,491,493,238,494,495,496,241,242,498,499,500,246,502,504,507,252,253,		0.005555555555555556	0.0	checking	missing	
0 - 0 2 - - - - - - 2 - - - - - - 3 - 0	6	513,514,515,516,518,520,527,533,534,540,542,543,39,553,554,44,45,48,55,58,59,60,62,66,71,72,74,78,79,82,83,87,93,105,107,111,112,126,128,131,140,141,142,143,146,147,148,149,150,154,164,166,167,169,170,171,173,176,179,182,187,199,200,201,202,203,204,205,207,209,211,213,214,216,218,219,222,226,227,228,230,231,232,234,235,238,241,242,246,252,253,257,268,269,270,271,274,275,277,279,282,283,286,288,292,298,299,327,336,337,341,347,350,351,352,370,371,372,378,380,381,383,384,388,393,397,399,405,406,408,409,413,417,426,427,428,429,430,431,432,433,434,436,437,438,439,440,444,445,447,448,449,450,452,454,458,466,467,468,475,477,479,482,489,490,491,493,494,495,496,498,499,500,502,504,507,		0.005681818181818182	0.0	checking	missing	
0 - - 2 - - - - - - 2 - 0 - - 0 - - 3 0	7	513,514,515,516,518,520,527,533,534,540,542,543,39,553,554,44,45,48,55,58,59,60,62,66,71,72,74,78,79,82,83,85,87,93,105,107,111,112,126,128,131,140,141,142,143,146,147,148,149,150,154,164,166,167,169,170,171,173,176,179,182,187,199,200,201,202,203,204,205,207,209,211,213,214,216,218,219,222,226,227,228,230,231,232,234,235,238,241,242,246,252,253,257,268,269,270,271,274,275,277,279,282,283,286,288,292,298,299,327,336,337,341,347,350,351,352,370,371,372,378,380,381,383,384,388,393,397,399,405,406,408,409,413,417,426,427,428,429,430,431,432,433,434,436,437,438,439,440,444,445,447,448,449,450,452,454,458,466,467,468,475,477,479,482,489,490,491,493,494,495,496,498,499,500,502,504,507,		0.005649717514124294	0.0	checking	missing	
- - - 2 - - - - - - 2 3 0 - - 0 - - - 0	6	257,513,514,515,516,518,520,268,269,270,271,527,274,275,277,533,534,279,282,283,540,286,542,543,288,292,39,553,298,554,299,44,45,48,55,58,59,60,62,66,71,327,72,74,78,79,336,337,82,83,85,341,87,347,93,350,351,352,105,107,111,112,370,371,372,378,380,381,126,383,128,384,131,388,393,140,141,397,142,143,399,146,147,148,149,405,150,406,408,409,154,413,417,164,166,167,169,170,426,171,427,428,173,429,430,431,176,432,433,434,179,436,437,182,438,439,440,187,444,445,447,448,449,450,452,454,199,200,201,202,458,203,204,205,207,209,466,211,467,468,213,214,216,218,219,475,477,222,479,226,482,227,228,230,231,232,489,234,490,235,491,493,238,494,495,496,241,242,498,499,500,246,502,504,507,252,253,		0.005649717514124294	0.0	checking	missing	
